Method,Silhouette,Davies-Bouldin,CH-Index,ARI,NMI,Purity,N_Clusters
Multi-Modal (Audio+Lyrics+Genre) + K-Means,0.02269876557533512,4.201703541911593,48.93256264070826,0.07584882646679512,0.16475535325927948,0.2766599597585513,6
VAE + Lyrics (Hybrid) + K-Means,0.019568998366594315,4.111871895891085,51.18783950805664,0.07629698841346702,0.13831154290580583,0.27414486921529174,6
Beta-VAE (β=2) + K-Means,0.22456733882427216,1.776852390213146,258.6306457519531,0.022481044267115467,0.08033431087433184,0.20975855130784707,6
Beta-VAE (β=4) + K-Means,0.2833568751811981,1.5019445557659203,321.9342041015625,0.01692063469903687,0.07164682422295292,0.19567404426559357,6
Beta-VAE (β=8) + K-Means,0.36923348903656006,1.278201010031454,515.2410888671875,0.017724292735810786,0.06911058493036233,0.2017102615694165,6
Basic VAE (β=1) + K-Means,0.2632755637168884,1.5490266018866947,233.85496520996094,0.015856576088741393,0.0600158125899076,0.1891348088531187,6
Conditional VAE (CVAE) + K-Means,0.13615863025188446,2.5834345094560347,129.87168884277344,0.01234682071436584,0.05186332699932472,0.18661971830985916,6
Autoencoder + K-Means,0.2462141364812851,1.6862692610679877,357.9366455078125,0.01269194380660791,0.05134696489221883,0.18963782696177062,6
Direct Spectral Features + K-Means,0.22527821362018585,2.0813706922823676,217.7346954345703,0.006206680671375213,0.03604383044633584,0.18309859154929578,6
PCA (Baseline) + K-Means,0.32242441177368164,1.505543036755357,321.7727966308594,0.005492632354761272,0.03426869595593144,0.18259557344064387,6
